POPGROUP.id,POPGROUP.display-label,GEO.id,GEO.id2,GEO.display-label,VD02,VD03,VD04,VD05
Id,Population Group,Id,Id2,Geography,Total,Male,Female,Male-Female
1,Total population,0500000US01001,1001,"Autauga County, Alabama",23205,30454,17924,12530
1,Total population,0500000US01003,1003,"Baldwin County, Alabama",21942,28765,16331,12434
1,Total population,0500000US01005,1005,"Barbour County, Alabama",17929,21796,14462,7334
1,Total population,0500000US01007,1007,"Bibb County, Alabama",20837,25960,14706,11254
1,Total population,0500000US01009,1009,"Blount County, Alabama",22065,26874,16452,10422
1,Total population,0500000US01011,1011,"Bullock County, Alabama",16268,17455,14934,2521
1,Total population,0500000US01013,1013,"Butler County, Alabama",18224,24451,13045,11406
1,Total population,0500000US01015,1015,"Calhoun County, Alabama",19766,25345,14849,10496
1,Total population,0500000US01017,1017,"Chambers County, Alabama",20661,25417,16828,8589
1,Total population,0500000US01019,1019,"Cherokee County, Alabama",20616,24939,15402,9537
1,Total population,0500000US01021,1021,"Chilton County, Alabama",21212,26643,14427,12216
1,Total population,0500000US01023,1023,"Choctaw County, Alabama",18950,26793,13003,13790
1,Total population,0500000US01025,1025,"Clarke County, Alabama",20619,27494,14400,13094
1,Total population,0500000US01027,1027,"Clay County, Alabama",19453,23802,15209,8593
1,Total population,0500000US01029,1029,"Cleburne County, Alabama",20212,25769,13814,11955
1,Total population,0500000US01031,1031,"Coffee County, Alabama",20530,26861,14479,12382
1,Total population,0500000US01033,1033,"Colbert County, Alabama",19946,26631,14259,12372
1,Total population,0500000US01035,1035,"Conecuh County, Alabama",18531,22046,15255,6791
1,Total population,0500000US01037,1037,"Coosa County, Alabama",18531,21810,15420,6390
1,Total population,0500000US01039,1039,"Covington County, Alabama",18323,23224,12888,10336
1,Total population,0500000US01041,1041,"Crenshaw County, Alabama",18020,23416,14375,9041
1,Total population,0500000US01043,1043,"Cullman County, Alabama",20850,26203,15446,10757
1,Total population,0500000US01045,1045,"Dale County, Alabama",20107,26018,13910,12108
1,Total population,0500000US01047,1047,"Dallas County, Alabama",18669,24913,14814,10099
1,Total population,0500000US01049,1049,"DeKalb County, Alabama",19252,24595,15066,9529
1,Total population,0500000US01051,1051,"Elmore County, Alabama",22772,28677,18056,10621
1,Total population,0500000US01053,1053,"Escambia County, Alabama",17771,24496,13477,11019
1,Total population,0500000US01055,1055,"Etowah County, Alabama",20167,26080,14915,11165
1,Total population,0500000US01057,1057,"Fayette County, Alabama",19969,25343,13715,11628
1,Total population,0500000US01059,1059,"Franklin County, Alabama",18274,22353,13933,8420
1,Total population,0500000US01061,1061,"Geneva County, Alabama",18354,21775,15233,6542
1,Total population,0500000US01063,1063,"Greene County, Alabama",16297,20707,13391,7316
1,Total population,0500000US01065,1065,"Hale County, Alabama",18313,23354,13816,9538
1,Total population,0500000US01067,1067,"Henry County, Alabama",20140,23849,15738,8111
1,Total population,0500000US01069,1069,"Houston County, Alabama",20979,27179,15607,11572
1,Total population,0500000US01071,1071,"Jackson County, Alabama",20408,24912,15935,8977
1,Total population,0500000US01073,1073,"Jefferson County, Alabama",23724,29315,19933,9382
1,Total population,0500000US01075,1075,"Lamar County, Alabama",18886,25627,12708,12919
1,Total population,0500000US01077,1077,"Lauderdale County, Alabama",19853,27001,14141,12860
